anchor_start,anchor_end,cause_start,cause_end,modifier,raw_line
B487,B49,U129,Y98,,U129 - Y98
B500,B500,B500,B500,,B500
B508,B508,B508,B508,,B508
B509,B509,B509,B509,,B509
B510,B510,B510,B510,,B510
B518,B518,B518,B518,,B518
B519,B519,B519,B519,,B519
B520,B520,B520,B520,,B520
B528,B528,B528,B528,,B528
B529,B529,B529,B529,,B529
B530,B530,B530,B530,,B530
B531,B531,B531,B531,,B531
B538,B538,B538,B538,,B538
B54,B54,B54,B54,,B54
B550,B550,B550,B550,,B550
B550,B550,B559,B559,,B559
B551,B551,B551,B551,,B551
B551,B551,B559,B559,,B559
B552,B552,B552,B559,,B552 - B559
B559,B559,B550,B559,,B550 - B559
B560,B560,B560,B560,,B560
B560,B560,B569,B569,,B569
B561,B561,B561,B569,,B561 - B569
B569,B569,B560,B569,,B560 - B569
B570,B570,B570,B570,,B570
B570,B570,B575,B575,,B575
B571,B571,B571,B571,,B571
B571,B571,B575,B575,,B575
B572,B572,B572,B572,,B572
B572,B572,B575,B575,,B575
B573,B573,B573,B573,,B573
B573,B573,B575,B575,,B575
B574,B574,B574,B575,,B574 - B575
B575,B575,B575,B575,,B575
B580,B89,A000,R002,,A000 - R002
B580,B89,R008,U079,,R008 - U079
B580,B89,U099,U109,,U099 - U109
B580,B89,U129,Y98,,U129 - Y98
B900,B900,B200,B24,,B200 - B24
B900,B900,B900,B900,,B900
B900,B900,C000,C969,,C000 - C969
B900,B900,D800,D899,,D800 - D899
B900,B900,R75,R75,,R75
B900,B900,Y632,Y632,,Y632
B900,B900,Y842,Y842,,Y842
B901,B901,B200,B24,,B200 - B24
B901,B901,B901,B901,,B901
B901,B901,C000,C969,,C000 - C969
B901,B901,D800,D899,,D800 - D899
B901,B901,R75,R75,,R75
B901,B901,Y632,Y632,,Y632
B901,B901,Y842,Y842,,Y842
B902,B902,B200,B24,,B200 - B24
B902,B902,B902,B902,,B902
B902,B902,C000,C969,,C000 - C969
B902,B902,D800,D899,,D800 - D899
B902,B902,R75,R75,,R75
B902,B902,Y632,Y632,,Y632
B902,B902,Y842,Y842,,Y842
B908,B908,B200,B24,,B200 - B24
B908,B908,B908,B908,,B908
B908,B908,C000,C969,,C000 - C969
B908,B908,D800,D899,,D800 - D899
B908,B908,R75,R75,,R75
B908,B908,Y632,Y632,,Y632
B908,B908,Y842,Y842,,Y842
B909,B909,B200,B24,,B200 - B24
B909,B909,B909,B909,,B909
B909,B909,C000,C969,,C000 - C969
B909,B909,D800,D899,,D800 - D899
B909,B909,R75,R75,,R75
B909,B909,Y632,Y632,,Y632
B909,B909,Y842,Y842,,Y842
B91,B91,B91,B91,,B91
B92,B92,B92,B92,,B92
B940,B940,B940,B940,,B940
B941,B941,B941,B941,,B941
B942,B942,B942,B942,,B942
B948,B948,A000,B89,,A000 - B89
B948,B948,B948,B948,,B948
B948,B948,C000,C969,,C000 - C969
B948,B948,R75,R75,,R75
B948,B948,U071,U072,,U071 - U072
B948,B948,U099,U109,,U099 - U109
B948,B948,U129,U129,,U129
B949,B949,A000,B89,,A000 - B89
B949,B949,B949,B949,,B949
B949,B949,C000,C969,,C000 - C969
B949,B949,R75,R75,,R75
B949,B949,U071,U072,,U071 - U072
B949,B949,U099,U109,,U099 - U109
B949,B949,U129,U129,,U129
B950,B950,B200,B206,,B200 - B206
B950,B950,B208,B208,,B208
B950,B950,B210,B222,,B210 - B222
B950,B950,B230,B238,,B230 - B238
B950,B950,B950,B950,,B950
B950,B950,C000,C969,,C000 - C969
B951,B951,B200,B206,,B200 - B206
B951,B951,B208,B208,,B208
B951,B951,B210,B222,,B210 - B222
B951,B951,B230,B238,,B230 - B238
B951,B951,B951,B951,,B951
B951,B951,C000,C969,,C000 - C969
B952,B952,B200,B206,,B200 - B206
B952,B952,B208,B208,,B208
B952,B952,B210,B222,,B210 - B222
B952,B952,B230,B238,,B230 - B238
B952,B952,B952,B952,,B952
B952,B952,C000,C969,,C000 - C969
B953,B953,B200,B206,,B200 - B206
B953,B953,B208,B208,,B208
B953,B953,B210,B222,,B210 - B222
B953,B953,B230,B238,,B230 - B238
B953,B953,B953,B953,,B953
B953,B953,C000,C969,,C000 - C969
B954,B954,B200,B206,,B200 - B206
B954,B954,B208,B208,,B208
B954,B954,B210,B222,,B210 - B222
B954,B954,B230,B238,,B230 - B238
B954,B954,B954,B954,,B954
B954,B954,C000,C969,,C000 - C969
B955,B955,B200,B206,,B200 - B206
B955,B955,B208,B208,,B208
B955,B955,B210,B222,,B210 - B222
B955,B955,B230,B238,,B230 - B238
B955,B955,B955,B955,,B955
B955,B955,C000,C969,,C000 - C969
B956,B956,B200,B206,,B200 - B206
B956,B956,B208,B208,,B208
B956,B956,B210,B222,,B210 - B222
B956,B956,B230,B238,,B230 - B238
B956,B956,B956,B956,,B956
B956,B956,C000,C969,,C000 - C969
B957,B957,B200,B206,,B200 - B206
B957,B957,B208,B208,,B208
B957,B957,B210,B222,,B210 - B222
B957,B957,B230,B238,,B230 - B238
B957,B957,B957,B957,,B957
B957,B957,C000,C969,,C000 - C969
B958,B958,B200,B206,,B200 - B206
B958,B958,B208,B208,,B208
B958,B958,B210,B222,,B210 - B222
B958,B958,B230,B238,,B230 - B238
B958,B958,B958,B958,,B958
B958,B958,C000,C969,,C000 - C969
B960,B960,B200,B206,,B200 - B206
B960,B960,B208,B208,,B208
B960,B960,B210,B222,,B210 - B222
B960,B960,B230,B238,,B230 - B238
B960,B960,B960,B960,,B960
B960,B960,C000,C969,,C000 - C969
B961,B961,B200,B206,,B200 - B206
B961,B961,B208,B208,,B208
B961,B961,B210,B222,,B210 - B222
B961,B961,B230,B238,,B230 - B238
B961,B961,B961,B961,,B961
B961,B961,C000,C969,,C000 - C969
B962,B962,B200,B206,,B200 - B206
B962,B962,B208,B208,,B208
B962,B962,B210,B222,,B210 - B222
B962,B962,B230,B238,,B230 - B238
B962,B962,B962,B962,,B962
B962,B962,C000,C969,,C000 - C969
B963,B963,B200,B206,,B200 - B206
B963,B963,B208,B208,,B208
B963,B963,B210,B222,,B210 - B222
B963,B963,B230,B238,,B230 - B238
B963,B963,B963,B963,,B963
B963,B963,C000,C969,,C000 - C969
B964,B964,B200,B206,,B200 - B206
B964,B964,B208,B208,,B208
B964,B964,B210,B222,,B210 - B222
B964,B964,B230,B238,,B230 - B238
B964,B964,B964,B964,,B964
B964,B964,C000,C969,,C000 - C969
B965,B965,B200,B206,,B200 - B206
B965,B965,B208,B208,,B208
B965,B965,B210,B222,,B210 - B222
B965,B965,B230,B238,,B230 - B238
B965,B965,B965,B965,,B965
B965,B965,C000,C969,,C000 - C969
B966,B966,B200,B206,,B200 - B206
B966,B966,B208,B208,,B208
B966,B966,B210,B222,,B210 - B222
B966,B966,B230,B238,,B230 - B238
B966,B966,B966,B966,,B966
B966,B966,C000,C969,,C000 - C969
B967,B967,B200,B206,,B200 - B206
B967,B967,B208,B208,,B208
B967,B967,B210,B222,,B210 - B222
B967,B967,B230,B238,,B230 - B238
B967,B967,B967,B967,,B967
B967,B967,C000,C969,,C000 - C969
B968,B968,B200,B206,,B200 - B206
B968,B968,B208,B208,,B208
B968,B968,B210,B222,,B210 - B222
B968,B968,B230,B238,,B230 - B238
B968,B968,B968,B968,,B968
B968,B968,C000,C969,,C000 - C969
B970,B970,B200,B206,,B200 - B206
B970,B970,B208,B208,,B208
B970,B970,B210,B222,,B210 - B222
B970,B970,B230,B238,,B230 - B238
B970,B970,B970,B970,,B970
B970,B970,C000,C969,,C000 - C969
B971,B971,B200,B206,,B200 - B206
B971,B971,B208,B208,,B208
B971,B971,B210,B222,,B210 - B222
B971,B971,B230,B238,,B230 - B238
B971,B971,B971,B971,,B971
B971,B971,C000,C969,,C000 - C969
B972,B972,B200,B206,,B200 - B206
B972,B972,B208,B208,,B208
B972,B972,B210,B222,,B210 - B222
B972,B972,B230,B238,,B230 - B238
B972,B972,B972,B972,,B972
B972,B972,C000,C969,,C000 - C969
B973,B973,B200,B206,,B200 - B206
B973,B973,B208,B208,,B208
B973,B973,B210,B222,,B210 - B222
B973,B973,B230,B238,,B230 - B238
B973,B973,B973,B973,,B973
B973,B973,C000,C969,,C000 - C969
B974,B974,B200,B206,,B200 - B206
B974,B974,B208,B208,,B208
B974,B974,B210,B222,,B210 - B222
